TK.3124..HNE,TK.3124..HNN,TK.3124..HNZ,datetime
0.011900485829331774,0.007331826108612655,0.007371226807685169,2023-02-06T01:18:01.370000Z
0.012488259384836756,0.008144682230291135,0.004608388901866024,2023-02-06T01:18:01.380000Z
0.012196571125563752,0.007037767226396823,0.0023893863507772357,2023-02-06T01:18:01.390000Z
0.011761983222636939,0.006516347547137328,0.0015446912411823882,2023-02-06T01:18:01.400000Z
0.010542860111749233,0.004315944351814392,0.002219309876431546,2023-02-06T01:18:01.410000Z
0.00972137803216806,0.0032206900798217005,0.003895830932696696,2023-02-06T01:18:01.420000Z
0.00892131134513915,0.0016598542292691892,0.005171134071950802,2023-02-06T01:18:01.430000Z
0.008216022798671313,0.0014386214725149189,0.00588004709126068,2023-02-06T01:18:01.440000Z
0.007586553435818364,0.000753523539823966,0.005840601265876403,2023-02-06T01:18:01.450000Z
0.0068220653242921,0.0008797779706969487,0.006760164987556607,2023-02-06T01:18:01.460000Z
0.006309720123091424,0.0005724072733097563,0.007796850467993027,2023-02-06T01:18:01.470000Z
0.006097240903755362,0.0008550457692032412,0.009821864508865687,2023-02-06T01:18:01.480000Z
0.006133138753335964,0.0006315127569911826,0.011181703434662085,2023-02-06T01:18:01.490000Z
0.006549025487558835,0.0008546475594936147,0.012670604562068248,2023-02-06T01:18:01.500000Z
0.006376185472575519,0.0005774379916972735,0.012869997309807708,2023-02-06T01:18:01.510000Z
0.006676894975908964,0.0007407563254238268,0.01334467538683885,2023-02-06T01:18:01.520000Z
0.006653748074657389,0.0009070849410020942,0.012763150948869295,2023-02-06T01:18:01.530000Z
0.007267252629628067,0.0012776628308304836,0.012546444016899671,2023-02-06T01:18:01.540000Z
0.0075488216785792196,0.0014845114354337377,0.010724701708254618,2023-02-06T01:18:01.550000Z
0.008022010222972656,0.001608034254586248,0.008755294178994127,2023-02-06T01:18:01.560000Z
0.00798135517520485,0.0014786612601027705,0.005718420417205189,2023-02-06T01:18:01.570000Z
0.008079838465442805,0.0005269320960413511,0.004388739546388914,2023-02-06T01:18:01.580000Z
0.007842603443714399,-0.000128729891641336,0.0030898585999849875,2023-02-06T01:18:01.590000Z
0.007650563216466285,-0.001772499938967099,0.0035387523563222335,2023-02-06T01:18:01.600000Z
0.007124109665707395,-0.0027634950375038094,0.0032578853405640824,2023-02-06T01:18:01.610000Z
0.006279366961480552,-0.003974919028478291,0.004241275232487348,2023-02-06T01:18:01.620000Z
0.005105328537192967,-0.0039041831730446002,0.004597916776152674,2023-02-06T01:18:01.630000Z
0.004887891777836139,-0.0041390679186252555,0.005120019888848428,2023-02-06T01:18:01.640000Z
0.004211035630663544,-0.003358091004817452,0.004055504342968963,2023-02-06T01:18:01.650000Z
0.004172993923756528,-0.003430528256312507,0.0027303539222156316,2023-02-06T01:18:01.660000Z
0.0028673985546914596,-0.0024371940984883184,0.0005137154016733398,2023-02-06T01:18:01.670000Z
0.002226128859115422,-0.0023173306491004503,-0.0012712475662530957,2023-02-06T01:18:01.680000Z
0.0011864213857280732,-0.0011352376899314742,-0.002893645162412925,2023-02-06T01:18:01.690000Z
0.0009618585465666156,-0.0007017123069430166,-0.003115520704173067,2023-02-06T01:18:01.700000Z
0.0005627936653498992,0.000987566399729832,-0.002202203356390729,2023-02-06T01:18:01.710000Z
0.0009957284763213502,0.0016658649545251742,0.00010857282007061357,2023-02-06T01:18:01.720000Z
0.0017942368479091973,0.003483794918041751,0.0023369033909219055,2023-02-06T01:18:01.730000Z
0.003356921611197733,0.004326807187761704,0.003223356109282072,2023-02-06T01:18:01.740000Z
0.004399728827609145,0.0068362055907933515,0.0029342789557707896,2023-02-06T01:18:01.750000Z
0.005320374514837715,0.008105426890505293,0.0018660809986761797,2023-02-06T01:18:01.760000Z
0.005376194782902445,0.010081192201306006,0.0006230473203661472,2023-02-06T01:18:01.770000Z
0.005891263325851139,0.010366564152763331,-0.0022244500865984495,2023-02-06T01:18:01.780000Z
0.00549602831369456,0.011880986069141515,-0.006105260584319146,2023-02-06T01:18:01.790000Z
0.005577482022536736,0.011704608548114594,-0.011208081502403433,2023-02-06T01:18:01.800000Z
0.004794060460990759,0.01238381055259626,-0.01452286932558755,2023-02-06T01:18:01.810000Z
0.0047517443089406175,0.01127449414234457,-0.016807329200501372,2023-02-06T01:18:01.820000Z
0.0040427731362398965,0.011412472611686486,-0.01590126983317596,2023-02-06T01:18:01.830000Z
0.0043187046590752,0.010767279580303792,-0.01414156621459495,2023-02-06T01:18:01.840000Z
0.004042681832232171,0.011374934052517932,-0.010980341913321034,2023-02-06T01:18:01.850000Z
0.004410114156011716,0.011153062727429,-0.010353847161699495,2023-02-06T01:18:01.860000Z
0.0038284535787491986,0.012132092955935422,-0.010784086981966406,2023-02-06T01:18:01.870000Z
0.003529918241688448,0.011854249391023093,-0.013251275775334196,2023-02-06T01:18:01.880000Z
0.0032490815317278753,0.012389211433621011,-0.014235764692640243,2023-02-06T01:18:01.890000Z
0.003981211860257154,0.011303275325569183,-0.014507093790495761,2023-02-06T01:18:01.900000Z
0.004560473501055755,0.010573958954574261,-0.011987813904187683,2023-02-06T01:18:01.910000Z
0.0061808243485090225,0.0086405989547767,-0.010548551641386074,2023-02-06T01:18:01.920000Z
0.006723675761829942,0.008188571477863855,-0.008531133666796942,2023-02-06T01:18:01.930000Z
0.007992925166779852,0.007739736171182608,-0.007850996357049547,2023-02-06T01:18:01.940000Z
0.007512950053958245,0.008903451302673159,-0.004824232831262834,2023-02-06T01:18:01.950000Z
0.007649387364942539,0.009680576483578262,-0.0025209938906986733,2023-02-06T01:18:01.960000Z
0.006533237607042469,0.011225938950768592,0.0011982972356213237,2023-02-06T01:18:01.970000Z
0.005953871808629388,0.011713841529158933,0.0030893623973388532,2023-02-06T01:18:01.980000Z
0.004753450866151147,0.012341546683345249,0.005281003344347562,2023-02-06T01:18:01.990000Z
0.004296342911641243,0.011373024856794896,0.0042932116198284905,2023-02-06T01:18:02.000000Z
0.003668598238260139,0.010630636800927839,0.0032568902874528217,2023-02-06T01:18:02.010000Z
0.0037008267754207657,0.008972987826395032,0.0005539535456907311,2023-02-06T01:18:02.020000Z
0.003348543235449131,0.008007568495439307,-0.0005638807989747687,2023-02-06T01:18:02.030000Z
0.003580412699671464,0.006285608433453925,-0.0022699283993478036,2023-02-06T01:18:02.040000Z
0.0031251362673323526,0.005272054742853365,-0.0017905929530212304,2023-02-06T01:18:02.050000Z
0.0031473550165020173,0.0036495917748352565,-0.00046315990815654534,2023-02-06T01:18:02.060000Z
0.00290521549766873,0.002601415542059827,0.003987311904935153,2023-02-06T01:18:02.070000Z
0.003533091886719084,0.0016817635109965885,0.007858262412846566,2023-02-06T01:18:02.080000Z
0.0034194756798961966,0.0011728893609096835,0.01207173960319721,2023-02-06T01:18:02.090000Z
0.0035616967908488053,0.00039419757187097537,0.013293154424124704,2023-02-06T01:18:02.100000Z
0.0034454760019641856,-0.000692334013320912,0.01307081667704006,2023-02-06T01:18:02.110000Z
0.0036076165252695584,-0.002000423913795764,0.009406857803065216,2023-02-06T01:18:02.120000Z
0.0037957086823765234,-0.0032991456340475266,0.006866612230122884,2023-02-06T01:18:02.130000Z
0.00409037741698377,-0.004548762217365023,0.005335078759196888,2023-02-06T01:18:02.140000Z
0.005151965231732336,-0.005683930738988552,0.004780125613325039,2023-02-06T01:18:02.150000Z
0.00669856208233918,-0.006001961065416656,0.0006956120891539204,2023-02-06T01:18:02.160000Z
0.008454274243877796,-0.0055026143309444405,-0.004611978582567788,2023-02-06T01:18:02.170000Z
0.009647161541469149,-0.004088464726172444,-0.008441502661312487,2023-02-06T01:18:02.180000Z
0.01058951925586863,-0.0031695541677938116,-0.006255516541622631,2023-02-06T01:18:02.190000Z
0.011453794993481039,-0.0022090134628073854,-0.0002472214256148677,2023-02-06T01:18:02.200000Z
